manufacturer,model_name,price,url,movement_type,metal_type,hour_markers,bezel_type,years_available,discontinued
Rolex,Daytona,42495.00,https://www.bobswatches.com/rolex-daytona-116505-18k-everose-gold.html,Automatic,Rose Gold,Index,Tachymetric,2010 - Present,Yes
Rolex,Datejust 41,14295.00,https://www.bobswatches.com/rolex-datejust-41-126334-blue-diamond-dial.html,Automatic,Stainless Steel,Diamond,Fluted,2010 - Present,No
Rolex,Air-King,9295.00,https://www.bobswatches.com/rolex-air-king-126900-stainless-steel.html,Automatic,Stainless Steel,Arabic,Smooth,2010 - Present,No
Rolex,Cellini,10295.00,https://www.bobswatches.com/rolex-cellini-5241-cellinium.html,Manual,Platinum,Index,Smooth,2000s,Yes
Rolex,Datejust 36,10595.00,https://www.bobswatches.com/rolex-datejust-116203-silver-dial.html,Automatic,Steel and Gold,Index,Smooth,2000s,Yes
Rolex,Datejust 36,10995.00,https://www.bobswatches.com/rolex-datejust-116203-silver-diamond-dial.html,Automatic,Steel and Gold,Diamond,Smooth,2000s,Yes
Rolex,Datejust 36,15495.00,https://www.bobswatches.com/pre-owned-rolex-datejust-126231-slate-roman-dial.html,Automatic,Steel and Rose Gold,Roman,Fluted,2010 - Present,No
Rolex,Datejust 36,6395.00,https://www.bobswatches.com/used-rolex-datejust-36-16233-champagne-dial.html,Automatic,Steel and Gold,Index,Fluted,1990s,Yes
Rolex,Datejust 36,8195.00,https://www.bobswatches.com/rolex-datejust-16233-champagne-jubilee-dial.html,Automatic,Steel and Gold,Diamond,Fluted,1990s,Yes
Rolex,Explorer II,12995.00,https://www.bobswatches.com/rolex-explorer-ii-ref-226570-white-dial.html,Automatic,Stainless Steel,Luminous,GMT,2010 - Present,No
Rolex,Lady Datejust,19495.00,https://www.bobswatches.com/ladies-rolex-datejust-179159-dark-mother-of-pearl-dial.html,Automatic,White Gold,Diamond,Diamond,2000s,Yes
Rolex,Datejust 31,6995.00,https://www.bobswatches.com/lady-rolex-datejust-ref-178240-stainless-steel.html,Automatic,Stainless Steel,Roman,Smooth,2010 - Present,Not listed
